Date/Time,Badge Number,Reading
2022-05-09 08:00:00,W-51108931,291148.33
2022-05-09 08:00:00,W-51074995,92.3
2022-05-09 08:00:00,W-51106632,56596.06
2022-05-09 08:00:00,W-51103059,170238.76
2022-05-09 08:00:00,W-51123243,414224.04
2022-05-09 08:00:00,W-51076902,210445.38
2022-05-09 08:00:00,W-51076972,195246.44
2022-05-09 08:00:00,W-51113149,64349.0
2022-05-09 08:00:00,W-51107686,164111.43
2022-05-09 08:00:00,W-51109128,240028.65
2022-05-09 08:00:00,W-51080441,247473.37
2022-05-09 08:00:00,W-51114000,216997.0
2022-05-09 08:00:00,W-51109130,54398.3
2022-05-09 08:00:00,W-51118062,111252.29
2022-05-09 08:00:00,W-51105376,284973.7
2022-05-09 08:00:00,W-51107317,23009.31
2022-05-09 08:00:00,W-51129150,19897.28
2022-05-09 08:00:00,W-51133940,244670.74
2022-05-09 08:00:00,W-51105575,126401.89
2022-05-09 08:00:00,W-51104982,114537.34
2022-05-09 08:00:00,W-51102813,172963.66
2022-05-09 08:00:00,W-51106906,183400.04
2022-05-09 08:00:00,W-51107225,76586.89
2022-05-09 08:00:00,W-51103622,157185.67
2022-05-09 08:00:00,W-51069037,982032.9
2022-05-09 08:00:00,W-51107213,116244.4
2022-05-09 08:00:00,W-51107397,136210.9
2022-05-09 08:00:00,W-51109230,234361.83
2022-05-09 08:00:00,W-51107853,413106.67
2022-05-09 08:00:00,W-51128172,122820.83
2022-05-09 08:00:00,W-51133624,120287.33
2022-05-09 08:00:00,W-51080880,120312.31
2022-05-09 08:00:00,W-51107187,157507.34
2022-05-09 08:00:00,W-51101116,158585.73
2022-05-09 08:00:00,W-51129931,339463.39
2022-05-09 08:00:00,W-51134976,121322.14
2022-05-09 08:00:00,W-51134801,69244.64
2022-05-09 08:00:00,W-51079753,113115.19
2022-05-09 08:00:00,W-51132424,122919.54
2022-05-09 08:00:00,W-51133199,118430.58
2022-05-09 08:00:00,W-51129495,64504.05
2022-05-09 08:00:00,W-33540902,14861330.0
2022-05-09 08:00:00,W-51137065,457327.63
2022-05-09 08:00:00,W-51047471,65419.55
2022-05-09 08:00:00,W-51042043,408655.66
